3;10;11;18;;;;;;;;;;;;;;;;;;;;;;;;
PILAW;TAMBERS;RUDEST;JUST;SHIRT;HI;FT;WSW;DIG;HUP;BAGS;OS;SYMPOSIUMS;AB;OR;LAITY;BST;WA
U;R;K;U;X;C;Q;B;W;S;W;;;;;;;;;;;;;;;
Y;J;A;G;L;T;C;H;M;H;M;;;;;;;;;;;;;;;
L;U;B;A;S;X;C;U;T;I;Y;;;;;;;;;;;;;;;
J;S;I;E;W;H;I;A;F;T;N;;;;;;;;;;;;;;;
B;T;D;A;A;S;M;W;P;I;T;;;;;;;;;;;;;;;
Y;U;L;S;O;B;W;A;U;F;T;;;;;;;;;;;;;;;
R;I;G;P;E;B;S;T;H;R;O;;;;;;;;;;;;;;;
P;A;M;R;G;Z;U;N;I;X;S;;;;;;;;;;;;;;;
B;Y;S;B;I;J;M;H;A;C;T;;;;;;;;;;;;;;;
S;Z;R;O;D;Z;S;G;E;T;A;;;;;;;;;;;;;;;
