4;12;13;23;;;;;;;;;;;;;;;;;;;;;;;;
NACH;TAMBERS;AS;SHOULDER;JUST;WHYDAH;KYTES;EM;INTERFACIAL;RETTERIES;WC;MIMSY;TA;LI;SELS;OMSK;IHRAM;OI;CUP;FO;PM;MR;XV
L;A;I;C;A;F;R;E;T;N;I;E;R;;;;;;;;;;;;;;;
A;G;J;F;X;S;B;W;C;M;L;D;R;;;;;;;;;;;;;;;
V;O;U;V;X;L;E;P;R;P;T;S;E;;;;;;;;;;;;;;;
M;Y;S;U;Y;E;Q;W;M;A;P;X;T;;;;;;;;;;;;;;;
S;E;T;Y;K;S;H;N;M;U;O;O;T;;;;;;;;;;;;;;;
A;B;Z;F;E;Y;L;B;C;W;M;I;E;;;;;;;;;;;;;;;
E;N;L;K;D;W;E;L;V;B;S;H;R;;;;;;;;;;;;;;;
M;F;P;A;P;R;S;A;Y;S;K;R;I;;;;;;;;;;;;;;;
O;B;H;H;S;Q;K;H;C;A;N;A;E;;;;;;;;;;;;;;;
S;I;B;S;A;T;B;D;E;D;S;M;S;;;;;;;;;;;;;;;
R;E;D;L;U;O;H;S;Y;S;M;I;M;;;;;;;;;;;;;;;
T;R;M;R;C;I;O;Z;E;F;W;H;R;;;;;;;;;;;;;;;
