5;13;13;28;;;;;;;;;;;;;;;;;;;;;;;;
NACH;DISEUSE;SACKERS;SHELLFIRES;BEAD;DOXY;LAS;NE;SANG;IO;DIG;GETA;SLOVENE;EEL;KANDY;EGIS;UP;DU;EO;TOY;ZO;DR;XU;JE;LRUN;NAN;MY;VA
R;G;Y;A;G;E;H;D;E;D;S;E;S;;;;;;;;;;;;;;;
E;E;L;E;O;I;O;G;U;H;E;R;W;;;;;;;;;;;;;;;
U;X;T;G;J;X;I;F;E;O;E;H;K;;;;;;;;;;;;;;;
B;A;Z;O;Y;S;L;L;J;K;O;J;A;;;;;;;;;;;;;;;
M;D;D;T;V;S;L;L;C;C;E;T;H;;;;;;;;;;;;;;;
T;A;I;U;C;F;A;A;I;V;Z;B;L;;;;;;;;;;;;;;;
F;R;P;S;I;S;S;Y;S;S;T;E;R;;;;;;;;;;;;;;;
N;D;N;R;E;I;I;L;S;M;O;A;U;;;;;;;;;;;;;;;
D;N;E;F;Z;U;O;U;K;E;Y;D;N;;;;;;;;;;;;;;;
E;S;U;Y;F;V;S;H;C;A;N;R;G;;;;;;;;;;;;;;;
J;W;T;J;E;G;H;E;N;V;N;N;O;;;;;;;;;;;;;;;
V;A;V;N;M;I;H;W;O;A;A;D;D;;;;;;;;;;;;;;;
T;Y;E;Y;N;D;G;B;L;S;N;J;Y;;;;;;;;;;;;;;;
