4;12;13;23;;;;;;;;;;;;;;;;;;;;;;;;
ON;TAC;EMBRASSERONT;BOP;EUE;ETAYE;FELA;MARC;VA;VOLEE;RUZ;TA;VS;AU;BENET;VUE;REPLIE;ELU;RU;HUN;MIT;VU;HI
C;K;O;N;O;A;N;K;R;O;B;Q;H;;;;;;;;;;;;;;;
A;N;Q;I;H;R;E;P;L;I;E;N;I;;;;;;;;;;;;;;;
T;T;N;O;R;E;S;S;A;R;B;M;E;;;;;;;;;;;;;;;
U;V;R;Z;U;U;V;Z;N;U;H;E;O;;;;;;;;;;;;;;;
P;S;Y;E;R;V;F;U;M;V;M;D;B;;;;;;;;;;;;;;;
X;G;Z;V;F;C;L;T;A;U;Q;E;I;;;;;;;;;;;;;;;
M;E;L;U;P;V;A;E;R;L;N;C;V;;;;;;;;;;;;;;;
O;G;U;J;O;X;Y;G;C;E;R;O;Y;;;;;;;;;;;;;;;
Z;R;J;K;B;A;E;F;T;W;L;P;T;;;;;;;;;;;;;;;
M;R;W;I;T;E;B;G;U;E;T;T;A;;;;;;;;;;;;;;;
H;U;F;E;L;A;C;A;E;V;C;I;N;;;;;;;;;;;;;;;
C;Z;P;Z;B;Q;M;S;L;A;R;M;I;;;;;;;;;;;;;;;
